Feature ID,lfc
Zfp397,0.25083496
AI837181,0.250607394
Lipo1,0.249931394
Jmjd1c (10 66590005..66719074),0.249919907
Rod1,0.249711147
Tet3,0.249535768
Ropn1l,0.249314588
Hat1,0.249134156
Casp8ap2,0.249018295
Serf1,0.248834378
Ankrd13c,0.248788499
Orc5,0.24874377
1300003B13Rik,0.248504854
2010111I01Rik,0.248460862
Cep110,0.248075087
Fam49a,0.247964615
Ccdc55,0.247900631
Cbfb,0.247718491
Extl2,0.247560801
Id2,0.247426042
Ptp4a1,0.2473806
Zfp35,0.246953881
Pias1,0.246608566
Gm10119,0.24647474
Gm9000,0.246458019
2310003F16Rik,0.246308358
Clpx,0.246031637
Gbp1,0.245993353
Ythdf2,0.24575838
Mrs2,0.244998443
Smap2,0.244697919
Nrip1,0.244664104
Ccdc163,0.244401798
Far1,0.244299662
Fam48a,0.244236856
Kcnk13,0.24311791
Hmgn2,0.243099639
1810009A15Rik,0.243065783
Pldn,0.242971754
AC101875.3,0.24243572
Cstb,0.242261124
Btg3,0.242259216
Rb1cc1,0.241940422
Acbd6,0.241171778
2310015A10Rik,0.240772045
Ube2a,0.240668515
Slc25a24,0.240084374
Wdr44,0.239965549
Hmgb1,0.239791493
Lipe,0.239275997
Tirap,0.238704495
Ezr,0.238602547
Vrk2,0.238400621
Trim30a,0.238365866
6330418K02Rik,0.238235574
4930579G24Rik,0.238076104
Smc2,0.237955889
Zfml,0.237534433
Tmem93,0.23732484
Sh3bgrl,0.23681125
Ccdc88a,0.236748921
Bri3bp,0.236692717
Orm1,0.236360153
Smc6,0.235794635
Pcmtd1,0.235656566
Mettl9,0.235371573
1810027O10Rik,0.234857576
Atp5k,0.234572257
Adat2,0.234533829
Fam63b,0.234483218
Tmsb4x,0.234428313
Crebzf,0.234350064
Gm1966,0.234118343
Map3k2,0.233556249
mt-Nd5,0.233438579
Rsl1d1,0.233406372
Zfp119b,0.233234889
Ubr7,0.233209259
Phf20,0.233170621
Ccnyl1,0.23314819
2210012G02Rik,0.233099884
Snrpa1,0.232587197
Ppp1r12b,0.232406933
Top2b,0.231751528
Naa15,0.23173741
Rmnd5a,0.231607268
Ccdc90b,0.231457656
Man1a,0.231291637
2810453I06Rik (5 144309575..144325399),0.231042896
Srp54b,0.23076559
Rrm2b,0.230613555
Slc10a6,0.230078581
Rassf5,0.229695748
Fam76b,0.22960366
2700029M09Rik,0.229602234
Rab14,0.229551688
Wasf2,0.229400327
Nf2,0.229386029
Mcfd2,0.229244816
Tmed7,0.229206543
Fam36a,0.22905502
0610030E20Rik,0.229032135
Syap1,0.228747147
Pibf1,0.228569115
Bnip3,0.228512633
Ndufaf2,0.227874076
Gm13822,0.227558381
Smek1,0.227333809
Calcrl,0.227261863
Bzw2,0.227231215
Gm11696,0.227166566
Acap2,0.227082942
Ppig,0.226904986
Ccdc117,0.226902563
Cul4b,0.226004916
Insl6,0.225844816
Igf2bp3,0.225409501
Ifi35,0.225357084
Polr1d,0.225165652
Zfp874b,0.224981861
Rps13,0.224874699
Zfp664 (5 125343060..125383063),0.224831938
Tpd52,0.224809465
Hnrnpab,0.224711534
Cables1,0.224438509
Gnpnat1,0.223786204
Hoxb4,0.223748565
Znrd1as,0.223665644
Dync1li1,0.223481358
Zfp871,0.223388965
Sumo1,0.223328593
Rwdd2a,0.223321339
4933421E11Rik,0.223174352
Snrnp48,0.223102856
Ngrn,0.222899975
Gm9887,0.222462487
Vamp7,0.22225733
Cep70,0.222225464
Terf1,0.222049292
Ppp1r2,0.221865383
Aldh6a1,0.221827348
Mrps15,0.221780753
Synj1,0.221352652
Pde12,0.221323875
Thoc2,0.221123012
Grk5,0.220887711
Gm9888,0.220760452
Senp6,0.220697913
Peci,0.220599315
Rnpc3,0.220505273
Il12rb1,0.220501258
Dnajc16,0.220392183
Zfp131 (NT_166323 12411..38031),0.220342287
AC165266.1,0.220158408
Ddx10,0.220117577
mt-Nd4,0.219770292
Dhrs13,0.219662404
6330416L07Rik,0.219637223
Serinc3,0.219435916
Luc7l2,0.219412569
Rbm39,0.218961277
2700089E24Rik,0.218484289
Zfp160,0.218473752
B3galnt2,0.218385711
Uchl5,0.218376057
Acer3,0.218354122
Psmg2,0.217948851
Mfap1b,0.217785996
Mex3c,0.217697193
Snrnp27,0.21769017
Rnaseh2b,0.217313165
Mx2,0.217208707
Dnajc2,0.217198346
AL593857.1,0.217197125
Slc7a11,0.217083282
Mrps22,0.216850023
Paox,0.216584975
Gm10237,0.216397081
BC006779,0.216396156
Rwdd1,0.216391912
Cmklr1,0.216323521
Sema6d,0.216260805
Cxx1c,0.215931925
Minpp1,0.21583537
Gbp3,0.215792704
Gabpa,0.215766865
Gpsm2,0.215658672
Rel,0.21541824
Gpbp1,0.215380055
Gbp6,0.215209165
Ostc,0.2150513
Ktn1,0.215019264
Aff1,0.214940763
Tmcc3,0.214817453
Atrx,0.21476504
Ube2k,0.214541918
Ptpn2,0.214499398
Tcof1,0.214471388
Mbd2,0.214228948
Mga,0.213783404
Gcfc1,0.213684263
Manea,0.21367999
Acsl4,0.213570565
Dars,0.213541824
Tesk2,0.213396072
0610011F06Rik,0.212986474
Usp8,0.212780381
5830433M19Rik,0.212593668
Rbm8a,0.212565043
Rps17,0.212550675
Dpep3,0.212389079
Pdap1,0.212307286
Ctage5,0.211978174
2410075B13Rik,0.211699879
D8Ertd82e,0.211690987
Nptx1,0.211319226
Eif4ebp1,0.211168353
Rps13-ps1,0.211089232
Ccl12,0.210916125
2810021B07Rik,0.210832517
AU022870,0.21082185
Tcea1,0.210821825
Tmed5,0.210776803
Acbd3,0.210757184
Pten,0.21074714
Zfp512,0.210574157
Dld,0.210207275
Calml4,0.210189916
Gmds,0.210112865
Chmp7,0.209836672
Gatsl3,0.209162815
Spire1,0.208905897
Tlr13,0.208477122
Acadl,0.20846822
Cops4,0.208462749
Rnft1,0.208396585
CR293526.1,0.208366301
Raph1,0.208065354
Adc,0.207968973
Mrpl32,0.207929433
Apoc1,0.207898006
Lpin1,0.207873009
Bub1,0.207144565
Igsf6,0.207131674
Prkar2b,0.206961016
Zfp445,0.206838826
Ccng1,0.206758677
Avl9,0.206644706
Gm10250,0.206635441
Wdfy2,0.206545399
Rbm26,0.206422387
Rbm17,0.205740101
Cenpc1,0.205721095
Nt5dc1,0.205694531
1110012D08Rik,0.205371123
N4bp2,0.205349633
Cyp20a1,0.205104417
D6Wsu116e,0.204891957
Marcks,0.204870693
Kctd13,0.20481922
Tsc22d2,0.204615828
Gins1,0.204482982
Ikbip,0.204305257
Smek2,0.204042742
Gtdc1,0.204017858
Mcl1,0.203952644
Ube2j1,0.203872621
Stat2,0.203692963
Zfp191,0.203511671
Rbm25,0.203508589
Rapgef6,0.203475216
Hook3,0.203427461
Vrk1,0.203231299
Btf3,0.20312679
D16Ertd472e,0.203043259
Itga6,0.203025328
Arl6ip6,0.20286252
Ppp1r12a,0.202812855
Bola2,0.202729985
Gm561,0.202651078
Layn,0.202597323
Slc4a1ap,0.202510878
Nop14,0.202444203
Immp1l,0.202204973
Gclm,0.202193577
Dnajc9,0.202163947
Asnsd1,0.201615913
Traf5,0.201599301
Gm16675,0.201508936
Dpy19l1,0.20142887
Pigv,0.201121964
Dbf4,0.200961396
Lipt2,0.200913628
1500011K16Rik,0.200861906
Tns1,0.200752468
Serbp1,0.200733455
Mkrn1,0.200599342
